Mitjana/Precipitació total,2006,16.20,5962.00
Mitjana/Precipitació total,2007,9.83,3537.00
Mitjana/Precipitació total,2008,11.09,3964.00
Mitjana/Precipitació total,2009,9.12,3364.00
Mitjana/Precipitació total,2010,5.32,1958.00
Mitjana/Precipitació total,2011,9.11,3324.00
Mitjana/Precipitació total,2012,9.30,3406.00
Mitjana/Precipitació total,2013,14.56,5273.00
Mitjana/Precipitació total,2014,12.68,4597.00
Mitjana/Precipitació total,2015,9.34,3415.00
Mitjana/Precipitació total,2016,12.91,4745.00
Mitjana/Precipitació total,2017,10.36,3808.00
Mitjana/Precipitació total,2018,10.39,3812.00
Mitjana/Precipitació total,2019,13.61,4899.00
Mitjana/Precipitació total,2020,12.02,4399.00
Mitjana/Precipitació total,2021,12.69,4647.00
Mitjana/Precipitació total,2022,18.48,6670.00
Mitjana/Precipitació total,2023,6.68,2423.00
Mitjana/Precipitació total,2024,10.43,3775.00
Mitjana/Precipitació total,2025,9.41,3430.00
Mitjana/Precipitació total,2026,12.61,4608.00
Mitjana/Precipitació total,2027,16.96,6128.00
Mitjana/Precipitació total,2028,9.06,3312.00
Mitjana/Precipitació total,2029,9.39,3425.00
Mitjana/Precipitació total,2030,15.34,5521.00
Mitjana/Precipitació total,2031,12.79,4650.00
Mitjana/Precipitació total,2032,14.86,5402.00
Mitjana/Precipitació total,2033,13.97,5016.00
Mitjana/Precipitació total,2034,11.00,3977.00
Mitjana/Precipitació total,2035,10.82,3952.00
Mitjana/Precipitació total,2036,12.37,4552.00
Mitjana/Precipitació total,2037,10.26,3770.00
Mitjana/Precipitació total,2038,11.40,4162.00
Mitjana/Precipitació total,2039,14.55,5335.00
Mitjana/Precipitació total,2040,11.47,4068.00
Mitjana/Precipitació total,2041,6.84,2484.00
Mitjana/Precipitació total,2042,9.86,3631.00
Mitjana/Precipitació total,2043,11.08,4043.00
Mitjana/Precipitació total,2044,10.00,3661.00
Mitjana/Precipitació total,2045,10.17,3681.00
Mitjana/Precipitació total,2046,11.27,4091.00
Mitjana/Precipitació total,2047,13.56,4971.00
Mitjana/Precipitació total,2048,9.94,3603.00
Mitjana/Precipitació total,2049,11.86,4196.00
Mitjana/Precipitació total,2050,10.14,3724.00
Mitjana/Precipitació total,2051,12.49,4519.00
Mitjana/Precipitació total,2052,6.69,2450.00
Mitjana/Precipitació total,2053,10.16,3705.00
Mitjana/Precipitació total,2054,15.62,5714.00
Mitjana/Precipitació total,2055,8.54,3117.00
Mitjana/Precipitació total,2056,16.34,5917.00
Mitjana/Precipitació total,2057,13.09,4780.00
Mitjana/Precipitació total,2058,8.39,3054.00
Mitjana/Precipitació total,2059,8.39,3072.00
Mitjana/Precipitació total,2060,8.58,3125.00
Mitjana/Precipitació total,2061,9.17,3344.00
Mitjana/Precipitació total,2062,9.75,3557.00
Mitjana/Precipitació total,2063,10.30,3758.00
Mitjana/Precipitació total,2064,8.04,2956.00
Mitjana/Precipitació total,2065,12.71,4626.00
Mitjana/Precipitació total,2066,10.66,3894.00
Mitjana/Precipitació total,2067,12.50,4486.00
Mitjana/Precipitació total,2068,9.08,3335.00
Mitjana/Precipitació total,2069,10.56,3813.00
Mitjana/Precipitació total,2070,14.41,5309.00
Mitjana/Precipitació total,2071,13.40,4898.00
Mitjana/Precipitació total,2072,8.12,2953.00
Mitjana/Precipitació total,2073,10.17,3703.00
Mitjana/Precipitació total,2074,9.77,3546.00
Mitjana/Precipitació total,2075,10.12,3635.00
Mitjana/Precipitació total,2076,5.20,1900.00
Mitjana/Precipitació total,2077,9.96,3607.00
Mitjana/Precipitació total,2078,13.07,4788.00
Mitjana/Precipitació total,2079,5.48,1990.00
Mitjana/Precipitació total,2080,12.46,4521.00
Mitjana/Precipitació total,2081,15.86,5818.00
Mitjana/Precipitació total,2082,8.04,2949.00
Mitjana/Precipitació total,2083,15.84,5711.00
Mitjana/Precipitació total,2084,10.34,3791.00
Mitjana/Precipitació total,2085,9.06,3317.00
Mitjana/Precipitació total,2086,7.77,2829.00
Mitjana/Precipitació total,2087,7.27,2672.00
Mitjana/Precipitació total,2088,8.65,3161.00
Mitjana/Precipitació total,2089,11.39,4108.00
Mitjana/Precipitació total,2090,10.84,3926.00
Mitjana/Precipitació total,2091,8.34,3033.00
Mitjana/Precipitació total,2092,19.09,6938.00
Mitjana/Precipitació total,2093,9.86,3583.00
Mitjana/Precipitació total,2094,10.10,3695.00
Mitjana/Precipitació total,2095,10.45,3835.00
Mitjana/Precipitació total,2096,6.16,2257.00
Mitjana/Precipitació total,2097,5.42,1977.00
Mitjana/Precipitació total,2098,9.74,3539.00
Mitjana/Precipitació total,2099,10.79,3958.00
Mitjana/Precipitació total,2100,11.24,4063.00
Taxa de variació interanual,2006-2007,-39.33%
Taxa de variació interanual,2007-2008,12.84%
Taxa de variació interanual,2008-2009,-17.76%
Taxa de variació interanual,2009-2010,-41.66%
